cluster_pair,start_year,weights,normalized_weights
"('Cluster_0', 'Cluster_1')",1987,"[0.0, 4.0, 5.0, 107.0]","[-0.6434126342158428, -0.5546660639791748, -0.5324794214200079, 1.7305581196150257]"
"('Cluster_0', 'Cluster_1')",1988,"[4.0, 5.0, 107.0, 381.0]","[-0.7807011780974448, -0.7742088606080689, -0.11199247669173325, 1.666902515397247]"
"('Cluster_0', 'Cluster_1')",1989,"[5.0, 107.0, 381.0, 424.0]","[-1.2625602970276208, -0.6882853793160608, 0.8543746937522473, 1.0964709825914345]"
"('Cluster_0', 'Cluster_1')",1990,"[107.0, 381.0, 424.0, 910.0]","[-1.205015200015654, -0.2576000929732173, -0.10891816011619256, 1.571533453105064]"
"('Cluster_0', 'Cluster_1')",1991,"[381.0, 424.0, 910.0, 2330.0]","[-0.7985800193362418, -0.7440953849348797, -0.12829230774739306, 1.6709677120185145]"
"('Cluster_0', 'Cluster_1')",1992,"[424.0, 910.0, 2330.0, 3222.0]","[-1.1647420199304734, -0.7284687084189436, 0.5462393211003416, 1.3469714072490755]"
"('Cluster_0', 'Cluster_1')",1993,"[910.0, 2330.0, 3222.0, 2987.0]","[-1.6137224941812378, -0.03583580680829397, 0.955343717935837, 0.6942145830536948]"
"('Cluster_0', 'Cluster_1')",1994,"[2330.0, 3222.0, 2987.0, 4129.0]","[-1.2987135866997501, 0.08533960247130974, -0.2792932444515592, 1.4926672286799996]"
"('Cluster_0', 'Cluster_1')",1995,"[3222.0, 2987.0, 4129.0, 5199.0]","[-0.7606414807211656, -1.0305557849408318, 0.281112876416014, 1.5100843892459832]"
"('Cluster_0', 'Cluster_1')",1996,"[2987.0, 4129.0, 5199.0, 5094.0]","[-1.5309652977652068, -0.25034828985613067, 0.9495292919851228, 0.8317842956362147]"
"('Cluster_0', 'Cluster_1')",1997,"[4129.0, 5199.0, 5094.0, 7321.0]","[-1.1210847436913858, -0.20311215846101824, -0.29319358037614773, 1.6173904825285517]"
"('Cluster_0', 'Cluster_1')",1998,"[5199.0, 5094.0, 7321.0, 4639.0]","[-0.3514448233192744, -0.45275355756367747, 1.6959564535057092, -0.8917580726227574]"
"('Cluster_0', 'Cluster_1')",1999,"[5094.0, 7321.0, 4639.0, 4744.0]","[-0.3250837145494438, 1.7113760106308975, -0.7411542915395899, -0.6451380045418639]"
"('Cluster_0', 'Cluster_1')",2000,"[7321.0, 4639.0, 4744.0, 7365.0]","[0.9829526928606399, -1.0391214181669621, -0.959957442903018, 1.0161261682093403]"
"('Cluster_0', 'Cluster_1')",2001,"[4639.0, 4744.0, 7365.0, 3593.0]","[-0.320809531018343, -0.24532493548461523, 1.6389143492191987, -1.0727798827162405]"
"('Cluster_0', 'Cluster_1')",2002,"[4744.0, 7365.0, 3593.0, 4722.0]","[-0.26140846795753103, 1.631275494795753, -1.092571856408134, -0.27729517043008817]"
"('Cluster_0', 'Cluster_1')",2003,"[7365.0, 3593.0, 4722.0, 5880.0]","[1.412864232018153, -1.2855276075628461, -0.4778700288547475, 0.35053340439944053]"
"('Cluster_0', 'Cluster_1')",2004,"[3593.0, 4722.0, 5880.0, 6597.0]","[-1.4043163765005175, -0.41648261384065194, 0.5967250895784131, 1.2240739007627564]"
"('Cluster_0', 'Cluster_1')",2005,"[4722.0, 5880.0, 6597.0, 7761.0]","[-1.3750634624953146, -0.32610200691588487, 0.3233844901915858, 1.3777809792196136]"
"('Cluster_0', 'Cluster_1')",2006,"[5880.0, 6597.0, 7761.0, 15891.0]","[-0.7848460059053848, -0.6063276186473434, -0.3165153414250838, 1.707688965977812]"
"('Cluster_0', 'Cluster_1')",2007,"[6597.0, 7761.0, 15891.0, 8267.0]","[-0.8271216885053393, -0.5095855257678014, 1.7082572603629402, -0.3715500460897995]"
"('Cluster_0', 'Cluster_1')",2008,"[7761.0, 15891.0, 8267.0, 27371.0]","[-0.8906450812945842, 0.13476658916140527, -0.8268248715466469, 1.5827033636798258]"
"('Cluster_0', 'Cluster_1')",2009,"[15891.0, 8267.0, 27371.0, 35477.0]","[-0.5612405636551625, -1.291365648086006, 0.5381607964269577, 1.3144454153142109]"
"('Cluster_0', 'Cluster_1')",2010,"[8267.0, 27371.0, 35477.0, 51886.0]","[-1.4320411011486747, -0.21523689373452054, 0.3010641377405178, 1.3462138571426774]"
"('Cluster_0', 'Cluster_1')",2011,"[27371.0, 35477.0, 51886.0, 71417.0]","[-1.136694478893384, -0.6559637631533773, 0.31718085991321116, 1.47547738213355]"
"('Cluster_0', 'Cluster_1')",2012,"[35477.0, 51886.0, 71417.0, 83496.0]","[-1.366681370882775, -0.4729353715676365, 0.5908560302620892, 1.2487607121883222]"
"('Cluster_0', 'Cluster_1')",2013,"[51886.0, 71417.0, 83496.0, 99357.0]","[-1.4215266195157805, -0.29534171683607785, 0.40115039516372386, 1.3157179411881343]"
"('Cluster_0', 'Cluster_1')",2014,"[71417.0, 83496.0, 99357.0, 177764.0]","[-0.8822687145334824, -0.5910282952325537, -0.20859893100273078, 1.6818959407687668]"
"('Cluster_0', 'Cluster_1')",2015,"[83496.0, 99357.0, 177764.0, 153996.0]","[-1.1706896353099205, -0.7594974500982291, 1.2731830660037242, 0.6570040194044253]"
"('Cluster_0', 'Cluster_1')",2016,"[99357.0, 177764.0, 153996.0, 419363.0]","[-0.9230755809848676, -0.28407090091917525, -0.4777763511443003, 1.6849228330483432]"
"('Cluster_0', 'Cluster_1')",2017,"[177764.0, 153996.0, 419363.0, 118127.0]","[-0.33354602562312347, -0.5340017176723895, 1.7040631439919316, -0.8365154006964186]"
"('Cluster_0', 'Cluster_1')",2018,"[153996.0, 419363.0, 118127.0, 241346.0]","[-0.6802503696847726, 1.5986467652460339, -0.9882832499330064, 0.06988685437174517]"
"('Cluster_0', 'Cluster_1')",2019,"[419363.0, 118127.0, 241346.0, 2950909.0]","[-0.438420801967297, -0.6958267936096613, -0.5905362277935554, 1.7247838233705137]"
"('Cluster_0', 'Cluster_1')",2020,"[118127.0, 241346.0, 2950909.0, 4539614.0]","[-0.9864732158497043, -0.920568808721541, 0.5286569039640627, 1.3783851206071827]"
"('Cluster_0', 'Cluster_1')",2021,"[241346.0, 2950909.0, 4539614.0, 968472.0]","[-1.1460434809557543, 0.45979712676264234, 1.4013537551507829, -0.7151074009576709]"
"('Cluster_0', 'Cluster_2')",1987,"[0.0, 1.0, 8.0, 119.0]","[-0.6358801255403849, -0.6160088716172478, -0.4769100941552887, 1.7287990913129214]"
"('Cluster_0', 'Cluster_2')",1988,"[1.0, 8.0, 119.0, 649.0]","[-0.7246234260249945, -0.6983757469451759, -0.2821625501080509, 1.7051617230782214]"
"('Cluster_0', 'Cluster_2')",1989,"[8.0, 119.0, 649.0, 893.0]","[-1.1174806020105346, -0.8143887343913059, 0.6328066695563626, 1.2990626668454779]"
"('Cluster_0', 'Cluster_2')",1990,"[119.0, 649.0, 893.0, 1686.0]","[-1.271397521083172, -0.3325738552189001, 0.0996393041601232, 1.5043320721419489]"
"('Cluster_0', 'Cluster_2')",1991,"[649.0, 893.0, 1686.0, 1670.0]","[-1.2465699909519907, -0.718050307559661, 0.9996386634654105, 0.9649816350462413]"
"('Cluster_0', 'Cluster_2')",1992,"[893.0, 1686.0, 1670.0, 1503.0]","[-1.6888004368733553, 0.768481666687325, 0.7189022043204009, 0.20141656586562953]"
"('Cluster_0', 'Cluster_2')",1993,"[1686.0, 1670.0, 1503.0, 1636.0]","[0.8644009763017271, 0.6422256249631305, -1.6767296046334705, 0.17010300336861295]"
"('Cluster_0', 'Cluster_2')",1994,"[1670.0, 1503.0, 1636.0, 1581.0]","[1.1484450530050003, -1.49693872426169, 0.609863924699207, -0.2613702534425173]"
"('Cluster_0', 'Cluster_2')",1995,"[1503.0, 1636.0, 1581.0, 1917.0]","[-1.0007355307130235, -0.1489094469700979, -0.5011683537810822, 1.6508133314642037]"
"('Cluster_0', 'Cluster_2')",1996,"[1636.0, 1581.0, 1917.0, 1895.0]","[-0.8071649109575496, -1.1733015715980877, 1.0634605734059261, 0.917005909149711]"
"('Cluster_0', 'Cluster_2')",1997,"[1581.0, 1917.0, 1895.0, 1901.0]","[-1.7292008660125335, 0.6667228081326676, 0.5098468532779222, 0.5526312046019437]"
"('Cluster_0', 'Cluster_2')",1998,"[1917.0, 1895.0, 1901.0, 2862.0]","[-0.5467019773021301, -0.5997447270293489, -0.5852785225582893, 1.7317252268897683]"
"('Cluster_0', 'Cluster_2')",1999,"[1895.0, 1901.0, 2862.0, 2434.0]","[-0.9347519959711035, -0.919914662701721, 1.4565315492777249, 0.39813510939509966]"
"('Cluster_0', 'Cluster_2')",2000,"[1901.0, 2862.0, 2434.0, 3088.0]","[-1.480660794616353, 0.6423008221330916, -0.303201333921812, 1.1415613064050734]"
"('Cluster_0', 'Cluster_2')",2001,"[2862.0, 2434.0, 3088.0, 3252.0]","[-0.15298736715168607, -1.546148923341508, 0.5826540153223788, 1.1164822751708152]"
"('Cluster_0', 'Cluster_2')",2002,"[2434.0, 3088.0, 3252.0, 4454.0]","[-1.196697988624494, -0.3002025882116428, -0.07539334407141715, 1.572293920907554]"
"('Cluster_0', 'Cluster_2')",2003,"[3088.0, 3252.0, 4454.0, 7069.0]","[-0.864969763624932, -0.7620083836688523, -0.007376806185877664, 1.634354953479662]"
"('Cluster_0', 'Cluster_2')",2004,"[3252.0, 4454.0, 7069.0, 12316.0]","[-1.0101878984236048, -0.6653051734629649, 0.08500125396804457, 1.5904918179185252]"
"('Cluster_0', 'Cluster_2')",2005,"[4454.0, 7069.0, 12316.0, 11703.0]","[-1.3572168125606736, -0.556331792850381, 1.0506447648627757, 0.8629038405482788]"
"('Cluster_0', 'Cluster_2')",2006,"[7069.0, 12316.0, 11703.0, 24041.0]","[-1.072293178746568, -0.23420100150257403, -0.3321141908775632, 1.638608371126705]"
"('Cluster_0', 'Cluster_2')",2007,"[12316.0, 11703.0, 24041.0, 26946.0]","[-0.9431755574232616, -1.0330157589150586, 0.7752198136881894, 1.200971502650131]"
"('Cluster_0', 'Cluster_2')",2008,"[11703.0, 24041.0, 26946.0, 33938.0]","[-1.549017993174068, -0.014427981950232205, 0.3468934625792898, 1.2165525125450103]"
"('Cluster_0', 'Cluster_2')",2009,"[24041.0, 26946.0, 33938.0, 38856.0]","[-1.1875706743094823, -0.6878939811322298, 0.5147701974203864, 1.3606944580213256]"
"('Cluster_0', 'Cluster_2')",2010,"[26946.0, 33938.0, 38856.0, 26742.0]","[-0.9195165349017623, 0.45587326337251777, 1.423288456151824, -0.9596451846225794]"
"('Cluster_0', 'Cluster_2')",2011,"[33938.0, 38856.0, 26742.0, 29942.0]","[0.34622027453565907, 1.4317869370580507, -1.2421769811599752, -0.5358302304337343]"
"('Cluster_0', 'Cluster_2')",2012,"[38856.0, 26742.0, 29942.0, 35892.0]","[1.25690336218706, -1.2816307040907067, -0.6110587202629988, 0.6357860621666456]"
"('Cluster_0', 'Cluster_2')",2013,"[26742.0, 29942.0, 35892.0, 31471.0]","[-1.2962034261849378, -0.32475288135402236, 1.4815379754409608, 0.13941833209799934]"
"('Cluster_0', 'Cluster_2')",2014,"[29942.0, 35892.0, 31471.0, 54668.0]","[-0.8155648760938832, -0.21284964395494763, -0.6606822559358273, 1.6890967759846582]"
"('Cluster_0', 'Cluster_2')",2015,"[35892.0, 31471.0, 54668.0, 96341.0]","[-0.7296988772920076, -0.9022029538926152, 0.0029264432809422256, 1.6289753879036806]"
"('Cluster_0', 'Cluster_2')",2016,"[31471.0, 54668.0, 96341.0, 223399.0]","[-0.9442219347558988, -0.631314686833149, -0.06918235322601211, 1.6447189748150597]"
"('Cluster_0', 'Cluster_2')",2017,"[54668.0, 96341.0, 223399.0, 32454.0]","[-0.6366148783499531, -0.07272409083780908, 1.6465386375407092, -0.937199668352947]"
"('Cluster_0', 'Cluster_2')",2018,"[96341.0, 223399.0, 32454.0, 83980.0]","[-0.18085325684928266, 1.628149152814654, -1.0904515265072336, -0.35684436945813786]"
"('Cluster_0', 'Cluster_2')",2019,"[223399.0, 32454.0, 83980.0, 959358.0]","[-0.27187326921958893, -0.7838405409180508, -0.6456875353848609, 1.7014013455225006]"
"('Cluster_0', 'Cluster_2')",2020,"[32454.0, 83980.0, 959358.0, 2029921.0]","[-0.916169972907918, -0.8527180805553892, 0.22526954945221858, 1.5436185040110886]"
"('Cluster_0', 'Cluster_2')",2021,"[83980.0, 959358.0, 2029921.0, 285165.0]","[-0.9944242747183908, 0.15759687430829106, 1.5664867680061583, -0.7296593675960585]"
"('Cluster_0', 'Cluster_3')",1987,"[1.0, 6.0, 5.0, 119.0]","[-0.6371460175625002, -0.5368080620408466, -0.5568756531451774, 1.7308297327485243]"
"('Cluster_0', 'Cluster_3')",1988,"[6.0, 5.0, 119.0, 645.0]","[-0.7095133282208927, -0.7132923605949054, -0.28248266995745264, 1.7052883587732508]"
"('Cluster_0', 'Cluster_3')",1989,"[5.0, 119.0, 645.0, 782.0]","[-1.1535959295339375, -0.8100036735786955, 0.7753430512674212, 1.188256551845212]"
"('Cluster_0', 'Cluster_3')",1990,"[119.0, 645.0, 782.0, 1568.0]","[-1.271515055162944, -0.2573878087403381, 0.006747994985701749, 1.5221548689175803]"
"('Cluster_0', 'Cluster_3')",1991,"[645.0, 782.0, 1568.0, 1491.0]","[-1.157210610395607, -0.8244973813836487, 1.0843536989331344, 0.8973542928461213]"
"('Cluster_0', 'Cluster_3')",1992,"[782.0, 1568.0, 1491.0, 1824.0]","[-1.6415314500802005, 0.3927511195107141, 0.19346389577216397, 1.0553164347973225]"
"('Cluster_0', 'Cluster_3')",1993,"[1568.0, 1491.0, 1824.0, 1733.0]","[-0.6542904313163541, -1.2401086081926247, 1.2933648060904674, 0.6010342334185114]"
"('Cluster_0', 'Cluster_3')",1994,"[1491.0, 1824.0, 1733.0, 1557.0]","[-1.2020640112523573, 1.2958287547197798, 0.6132214222769435, -0.7069861657443661]"
"('Cluster_0', 'Cluster_3')",1995,"[1824.0, 1733.0, 1557.0, 1858.0]","[0.6940463803713197, -0.08568473831744688, -1.5937361327045119, 0.9853744906506391]"
"('Cluster_0', 'Cluster_3')",1996,"[1733.0, 1557.0, 1858.0, 1857.0]","[-0.148216399610339, -1.5775909931127863, 0.8669644196385582, 0.858842973084567]"
"('Cluster_0', 'Cluster_3')",1997,"[1557.0, 1858.0, 1857.0, 1700.0]","[-1.4860278636273, 0.9187806683717178, 0.910791271255442, -0.3435440759998597]"
"('Cluster_0', 'Cluster_3')",1998,"[1858.0, 1857.0, 1700.0, 2985.0]","[-0.46991664400867555, -0.47185844832276097, -0.7767217256341744, 1.718496817965611]"
"('Cluster_0', 'Cluster_3')",1999,"[1857.0, 1700.0, 2985.0, 2386.0]","[-0.7446671721767749, -1.0564344949281181, 1.495291681730964, 0.3058099853739289]"
"('Cluster_0', 'Cluster_3')",2000,"[1700.0, 2985.0, 2386.0, 2900.0]","[-1.548757340000734, 0.9616850212745018, -0.20855231289193107, 0.7956246316181632]"
"('Cluster_0', 'Cluster_3')",2001,"[2985.0, 2386.0, 2900.0, 3360.0]","[0.22235838507646763, -1.501818607296401, -0.02230779915006633, 1.3017680213699998]"
"('Cluster_0', 'Cluster_3')",2002,"[2386.0, 2900.0, 3360.0, 10799.0]","[-0.7184151116168528, -0.5692320523820028, -0.4357219215492577, 1.7233690855481132]"
"('Cluster_0', 'Cluster_3')",2003,"[2900.0, 3360.0, 10799.0, 8368.0]","[-1.0339598653520847, -0.8963677519328445, 1.3287360126883052, 0.6015916045966242]"
"('Cluster_0', 'Cluster_3')",2004,"[3360.0, 10799.0, 8368.0, 9266.0]","[-1.6457219048745315, 1.0225122258641248, 0.15055669799402488, 0.4726529810163818]"
"('Cluster_0', 'Cluster_3')",2005,"[10799.0, 8368.0, 9266.0, 3368.0]","[1.0230025227893902, 0.15001642962536824, 0.47249339863453804, -1.6455123510492964]"
"('Cluster_0', 'Cluster_3')",2006,"[8368.0, 9266.0, 3368.0, 6062.0]","[0.7015389069238626, 1.0947860594941674, -1.4880332120644724, -0.30829175435355755]"
"('Cluster_0', 'Cluster_3')",2007,"[9266.0, 3368.0, 6062.0, 5532.0]","[1.521038776092326, -1.274563187570042, 0.0023699575819450393, -0.24884554610422913]"
"('Cluster_0', 'Cluster_3')",2008,"[3368.0, 6062.0, 5532.0, 8727.0]","[-1.338669380240981, 0.07324226128557389, -0.20452803196204086, 1.469955150917448]"
"('Cluster_0', 'Cluster_3')",2009,"[6062.0, 5532.0, 8727.0, 35461.0]","[-0.6316479021507347, -0.6741129732663419, -0.4181207049373513, 1.723881580354428]"
"('Cluster_0', 'Cluster_3')",2010,"[5532.0, 8727.0, 35461.0, 7739.0]","[-0.7219410076062711, -0.46079906208510996, 1.7242928851958672, -0.5415528155044862]"
"('Cluster_0', 'Cluster_3')",2011,"[8727.0, 35461.0, 7739.0, 34231.0]","[-0.96203042978641, 1.0453000295236297, -1.0362147080013542, 0.9529451082641344]"
"('Cluster_0', 'Cluster_3')",2012,"[35461.0, 7739.0, 34231.0, 92729.0]","[-0.2282006284958588, -1.1218547919599353, -0.2678512533086722, 1.6179066737644663]"
"('Cluster_0', 'Cluster_3')",2013,"[7739.0, 34231.0, 92729.0, 116501.0]","[-1.2609114213408683, -0.6542376345559883, 0.6853819932313406, 1.229767062665516]"
"('Cluster_0', 'Cluster_3')",2014,"[34231.0, 92729.0, 116501.0, 86406.0]","[-1.6065537129260783, 0.3417974394608905, 1.133554484052894, 0.13120178941229388]"
"('Cluster_0', 'Cluster_3')",2015,"[92729.0, 116501.0, 86406.0, 132642.0]","[-0.7733183041114639, 0.5085981371100918, -1.1142890957084643, 1.3790092627098365]"
"('Cluster_0', 'Cluster_3')",2016,"[116501.0, 86406.0, 132642.0, 284229.0]","[-0.5027623643904952, -0.8963434211707559, -0.29167109216952203, 1.6907768777307732]"
"('Cluster_0', 'Cluster_3')",2017,"[86406.0, 132642.0, 284229.0, 444890.0]","[-1.0717540160102272, -0.7427908138205155, 0.33573122377641823, 1.4788136060543244]"
"('Cluster_0', 'Cluster_3')",2018,"[132642.0, 284229.0, 444890.0, 665044.0]","[-1.261940261124151, -0.49387507838941347, 0.3201664972295094, 1.435648842284055]"
"('Cluster_0', 'Cluster_3')",2019,"[284229.0, 444890.0, 665044.0, 8254901.0]","[-0.6303511872856531, -0.5827613887527796, -0.517549019190744, 1.7306615952291766]"
"('Cluster_0', 'Cluster_3')",2020,"[444890.0, 665044.0, 8254901.0, 12804420.0]","[-0.9726251784565497, -0.9306182090461836, 0.5175811915009443, 1.3856621960017892]"
"('Cluster_0', 'Cluster_3')",2021,"[665044.0, 8254901.0, 12804420.0, 1733391.0]","[-1.0505601833103448, 0.483003156505019, 1.4022530912789488, -0.834696064473623]"
"('Cluster_0', 'Cluster_4')",1987,"[0.0, 2.0, 4.0, 120.0]","[-0.6162566596768876, -0.5771292527132756, -0.5380018457496637, 1.731387758139827]"
"('Cluster_0', 'Cluster_4')",1988,"[2.0, 4.0, 120.0, 621.0]","[-0.7238717226886214, -0.7160354929436837, -0.26153416773729626, 1.7014413833696014]"
"('Cluster_0', 'Cluster_4')",1989,"[4.0, 120.0, 621.0, 905.0]","[-1.113388017227452, -0.7972239780637203, 0.5682776048761903, 1.3423343904149818]"
"('Cluster_0', 'Cluster_4')",1990,"[120.0, 621.0, 905.0, 1862.0]","[-1.1933496303560414, -0.40356341528553047, 0.044139748546854894, 1.5527732970947168]"
"('Cluster_0', 'Cluster_4')",1991,"[621.0, 905.0, 1862.0, 1589.0]","[-1.2440152285690536, -0.677147479008506, 1.2330371559543245, 0.688125551623235]"
"('Cluster_0', 'Cluster_4')",1992,"[905.0, 1862.0, 1589.0, 2154.0]","[-1.562111043513725, 0.507010435576427, -0.08324051927374175, 1.1383411272110397]"
"('Cluster_0', 'Cluster_4')",1993,"[1862.0, 1589.0, 2154.0, 1724.0]","[0.14211176507178552, -1.161972667351658, 1.5369566524990586, -0.517095750219186]"
"('Cluster_0', 'Cluster_4')",1994,"[1589.0, 2154.0, 1724.0, 1700.0]","[-0.9419013090856219, 1.68287915766346, -0.3147413745526554, -0.4262364740251828]"
"('Cluster_0', 'Cluster_4')",1995,"[2154.0, 1724.0, 1700.0, 1783.0]","[1.7084668169905963, -0.6330175855781891, -0.763705087116912, -0.31174414429549524]"
"('Cluster_0', 'Cluster_4')",1996,"[1724.0, 1700.0, 1783.0, 1986.0]","[-0.6598452396357777, -0.8731285494170391, -0.13552376975684322, 1.66849755880966]"
"('Cluster_0', 'Cluster_4')",1997,"[1700.0, 1783.0, 1986.0, 1997.0]","[-1.2961516463054923, -0.6500219967958475, 0.9302710014024405, 1.0159026416988994]"
"('Cluster_0', 'Cluster_4')",1998,"[1783.0, 1986.0, 1997.0, 7269.0]","[-0.6369539980020943, -0.5493364058662819, -0.5445886545682822, 1.7308790584366582]"
"('Cluster_0', 'Cluster_4')",1999,"[1986.0, 1997.0, 7269.0, 7569.0]","[-1.0012612112914412, -0.997210876337242, 0.9440042035298086, 1.0544678840988746]"
"('Cluster_0', 'Cluster_4')",2000,"[1997.0, 7269.0, 7569.0, 9520.0]","[-1.6467507238215195, 0.24395974952460145, 0.3515494957317024, 1.0512414785652158]"
"('Cluster_0', 'Cluster_4')",2001,"[7269.0, 7569.0, 9520.0, 18517.0]","[-0.7524774106049905, -0.6870398504393271, -0.26147758416196315, 1.7009948452062809]"
"('Cluster_0', 'Cluster_4')",2002,"[7569.0, 9520.0, 18517.0, 12620.0]","[-1.083394667881029, -0.6123745014106362, 1.5597261842552395, 0.1360429850364256]"
"('Cluster_0', 'Cluster_4')",2003,"[9520.0, 18517.0, 12620.0, 19309.0]","[-1.3405941436187636, 0.863796884460925, -0.5810507194721554, 1.057847978629994]"
"('Cluster_0', 'Cluster_4')",2004,"[18517.0, 12620.0, 19309.0, 22373.0]","[0.088423269713015, -1.5814951338022756, 0.31270262796027803, 1.1803692361289824]"
"('Cluster_0', 'Cluster_4')",2005,"[12620.0, 19309.0, 22373.0, 20272.0]","[-1.650326233244778, 0.18233454108481775, 1.0218131795279155, 0.4461785126320446]"
"('Cluster_0', 'Cluster_4')",2006,"[19309.0, 22373.0, 20272.0, 23788.0]","[-1.2132182388341646, 0.5348657883409497, -0.6638041010503412, 1.3421565515435563]"
"('Cluster_0', 'Cluster_4')",2007,"[22373.0, 20272.0, 23788.0, 37270.0]","[-0.5328059257054601, -0.8478929005579466, -0.32059837243736466, 1.7012971987007715]"
"('Cluster_0', 'Cluster_4')",2008,"[20272.0, 23788.0, 37270.0, 40888.0]","[-1.180660050688436, -0.7769449290525944, 0.7710889929879107, 1.1865159867531196]"
"('Cluster_0', 'Cluster_4')",2009,"[23788.0, 37270.0, 40888.0, 42949.0]","[-1.6665402426060807, 0.14021009821093317, 0.6250656636371278, 0.9012644807580198]"
"('Cluster_0', 'Cluster_4')",2010,"[37270.0, 40888.0, 42949.0, 44792.0]","[-1.5054995762563037, -0.21008428000912924, 0.5278512991963508, 1.1877325570690822]"
"('Cluster_0', 'Cluster_4')",2011,"[40888.0, 42949.0, 44792.0, 40312.0]","[-0.7602855757162836, 0.4027862903451456, 1.44283551361114, -1.0853362282400019]"
"('Cluster_0', 'Cluster_4')",2012,"[42949.0, 44792.0, 40312.0, 48568.0]","[-0.40150701141334, 0.21194577369321804, -1.279247106001508, 1.46880834372163]"
"('Cluster_0', 'Cluster_4')",2013,"[44792.0, 40312.0, 48568.0, 40689.0]","[0.356764299121841, -0.9732161960442481, 1.477747859333259, -0.8612959624108518]"
"('Cluster_0', 'Cluster_4')",2014,"[40312.0, 48568.0, 40689.0, 38272.0]","[-0.42001860755487025, 1.6838331285124792, -0.3239488274558646, -0.9398656935017444]"
"('Cluster_0', 'Cluster_4')",2015,"[48568.0, 40689.0, 38272.0, 78110.0]","[-0.17896781307755852, -0.6751717012584624, -0.8273895966428061, 1.681529110978827]"
"('Cluster_0', 'Cluster_4')",2016,"[40689.0, 38272.0, 78110.0, 193039.0]","[-0.7442817240730415, -0.7826887808123594, -0.1496476859091958, 1.6766181907945967]"
"('Cluster_0', 'Cluster_4')",2017,"[38272.0, 78110.0, 193039.0, 59858.0]","[-0.9032703948254028, -0.23747975619466616, 1.6832655700564494, -0.5425154190363802]"
"('Cluster_0', 'Cluster_4')",2018,"[78110.0, 193039.0, 59858.0, 193923.0]","[-0.8488345399113237, 0.9875945595751185, -1.1404798507016947, 1.0017198310379]"
"('Cluster_0', 'Cluster_4')",2019,"[193039.0, 59858.0, 193923.0, 1367387.0]","[-0.4911481861762728, -0.7422361140536692, -0.4894815691044411, 1.7228658693343832]"
"('Cluster_0', 'Cluster_4')",2020,"[59858.0, 193923.0, 1367387.0, 3710376.0]","[-0.8696407681745248, -0.7780572448071538, 0.023568590905140564, 1.624129422076538]"
"('Cluster_0', 'Cluster_4')",2021,"[193923.0, 1367387.0, 3710376.0, 382978.0]","[-0.871962144031484, -0.0330836381628204, 1.641857486223368, -0.7368117040290636]"
"('Cluster_0', 'Cluster_5')",1987,"[0.0, 3.0, 5.0, 121.0]","[-0.6290138947230264, -0.5705009742836751, -0.5314923606574409, 1.7310072296641423]"
"('Cluster_0', 'Cluster_5')",1988,"[3.0, 5.0, 121.0, 921.0]","[-0.6772370122771808, -0.6720174591960464, -0.3692833804902546, 1.7185378519634817]"
"('Cluster_0', 'Cluster_5')",1989,"[5.0, 121.0, 921.0, 1457.0]","[-1.0429053455646995, -0.8480953293239504, 0.4954220240605255, 1.3955786508281243]"
"('Cluster_0', 'Cluster_5')",1990,"[121.0, 921.0, 1457.0, 2506.0]","[-1.304391593541143, -0.3811327792673855, 0.237450626296032, 1.4480737465124964]"
"('Cluster_0', 'Cluster_5')",1991,"[921.0, 1457.0, 2506.0, 2367.0]","[-1.3640501462260073, -0.5441669072272521, 1.0604180138729236, 0.8477990395803359]"
"('Cluster_0', 'Cluster_5')",1992,"[1457.0, 2506.0, 2367.0, 3474.0]","[-1.3902961382428614, 0.07692785473174786, -0.11748981449939673, 1.4308580980105101]"
"('Cluster_0', 'Cluster_5')",1993,"[2506.0, 2367.0, 3474.0, 2703.0]","[-0.5996064202270037, -0.9245393341122026, 1.6632357426569713, -0.13908998831776498]"
"('Cluster_0', 'Cluster_5')",1994,"[2367.0, 3474.0, 2703.0, 3166.0]","[-1.3210148490290143, 1.2880189384377456, -0.5291129948385616, 0.5621089054298304]"
"('Cluster_0', 'Cluster_5')",1995,"[3474.0, 2703.0, 3166.0, 3694.0]","[0.5774420978094851, -1.4957027562585614, -0.2507402822851431, 1.1690009407342195]"
"('Cluster_0', 'Cluster_5')",1996,"[2703.0, 3166.0, 3694.0, 4363.0]","[-1.2596654496052835, -0.510500256069964, 0.34383931668737666, 1.4263263889878708]"
"('Cluster_0', 'Cluster_5')",1997,"[3166.0, 3694.0, 4363.0, 4786.0]","[-1.348292017501602, -0.49699373918668915, 0.5816398748145925, 1.2636458818736986]"
"('Cluster_0', 'Cluster_5')",1998,"[3694.0, 4363.0, 4786.0, 4728.0]","[-1.6070919690751029, -0.06842359367439615, 0.9044564105027323, 0.7710591522467667]"
"('Cluster_0', 'Cluster_5')",1999,"[4363.0, 4786.0, 4728.0, 3374.0]","[0.08882422629913754, 0.8365386088769521, 0.7340151237953605, -1.6593779589714501]"
"('Cluster_0', 'Cluster_5')",2000,"[4786.0, 4728.0, 3374.0, 6400.0]","[-0.03358141745371292, -0.08768481224025039, -1.3507192353604527, 1.471985465054416]"
"('Cluster_0', 'Cluster_5')",2001,"[4728.0, 3374.0, 6400.0, 8365.0]","[-0.5295282417566411, -1.2546672954491744, 0.3659167344427055, 1.41827880276311]"
